Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotCases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	1 Caseevery X ppl	1 Deathevery X ppl	1 Testevery X ppl	New Cases/1M pop	New Deaths/1M pop	Active Cases/1M pop
Finland	637757	28	2366	2	46000	0	589391	35	114808	426	9927154	1787077	5554968	Europe	9	2348	1	5.0	0.4	106102
Kuwait	619310	0	2537	0	606657	0	10116	62	141554	580	7626573	1743191	4375065	Asia	7	1725	1	0.0	0.0	2312
Myanmar	586198	0	19365	0	533395	0	33438	0	10656	352	7100472	129068	55013516	Asia	94	2841	8	0.0	0.0	608
Palestine	575372	0	5216	0	553022	0	17134	104	108612	985	3078533	581128	5297513	Asia	9	1016	2	0.0	0.0	3234
Dominican Republic	574071	0	4368	0	568031	0	1672	40	52056	396	3103088	281384	11027938	North America	19	2525	4	0.0	0.0	152
Venezuela	514795	0	5633	0	502418	0	6744	230	18189	199	3359014	118682	28302567	South America	55	5024	8	0.0	0.0	238
Bahrain	512306	0	1453	0	485005	0	25848	14	284724	808	9385851	5216370	1799307	Asia	4	1238	0	0.0	0.0	14366
Moldova	501312	0	11213	0	475918	0	14181	77	124753	2790	3009636	748956	4018443	Europe	8	358	1	0.0	0.0	3529
Libya	494446	898	6261	11	463762	2660	24423	129	70375	891	2423118	344884	7025895	Africa	14	1122	3	128.0	2.0	3476
Estonia	494430	2281	2236	11	368812	1885	123382	25	372308	1684	3100487	2334683	1328012	Europe	3	594	0	1718.0	8.0	92907
Egypt	482248	0	24040	0	412161	0	46047	122	4570	228	3693367	34999	105526991	Africa	219	4390	29	0.0	0.0	436
Ethiopia	468674	0	7460	0	416704	0	44510	86	3916	62	4501473	37615	119672008	Africa	255	16042	27	0.0	0.0	372
Mongolia	464211	166	2168	0	313256	0	148787	192	137927	644	4030048	1197413	3365629	Asia	7	1552	1	49.0	0.0	44208
Armenia	419832	139	8461	12	401677	837	9694	0	141243	2847	2894588	973818	2972411	Asia	7	351	1	47.0	4.0	3261
Honduras	411212	0	10720	0	127663	0	272829	105	40453	1055	1263329	124280	10165223	North America	25	948	8	0.0	0.0	26839
Oman	382244	863	4244	2	368677	1473	9323	60	71832	798	25000000	4698051	5321356	Asia	14	1254	0	162.0	0.4	1752
Bosnia and Herzegovina	371202	135	15459	24	192218	0	163525	0	114320	4761	1699911	523527	3247038	Europe	9	210	2	42.0	7.0	50361
Qatar	356982	311	670	2	353139	586	3173	20	127139	239	3374531	1201840	2807805	Asia	8	4191	1	111.0	0.7	1130
Kenya	322930	0	5639	0	303248	0	14043	4	5795	101	3368063	60435	55730036	Africa	173	9883	17	0.0	0.0	252
Cyprus	320160	0	854	0	124370	0	194936	60	262017	699	9477138	7756029	1221906	Asia	4	1431	0	0.0	0.0	159534
Zambia	312750	43	3952	0	307102	256	1696	1	16259	205	3270113	170008	19235057	Africa	62	4867	6	2.0	0.0	88
North Macedonia	297081	0	9001	0	283908	0	4172	0	142606	4321	1889266	906892	2083232	Europe	7	231	1	0.0	0.0	2003
Réunion	292126	0	640	0	274185	0	17301	40	322475	706	1424291	1572261	905887	Africa	3	1415	1	0.0	0.0	19098
Albania	271527	0	3464	0	265275	0	2788	13	94523	1206	1742017	606426	2872595	Europe	11	829	2	0.0	0.0	971
Algeria	264855	0	6831	0	177437	0	80587	14	5865	151	230861	5112	45160878	Africa	171	6611	196	0.0	0.0	1784
Botswana	263950	0	2619	0	259434	0	1897	1	108614	1078	2026898	834060	2430159	Africa	9	928	1	0.0	0.0	781
Nigeria	254525	0	3142	0	249013	0	2370	11	1186	15	4317621	20121	214587291	Africa	843	68296	50	0.0	0.0	11
Uzbekistan	236405	106	1635	2	232918	321	1852	23	6898	48	1377915	40206	34271752	Asia	145	20961	25	3.0	0.06	54
Zimbabwe	235975	0	5394	0	226069	0	4512	12	15503	354	2078325	136544	15220902	Africa	65	2822	7	0.0	0.0	296
Montenegro	230120	0	2676	0	225847	0	1597	60	366318	4260	1168531	1860132	628198	Europe	3	235	1	0.0	0.0	2542
Mozambique	225038	0	2192	0	219321	0	3525	13	6881	67	1268201	38779	32702989	Africa	145	14919	26	0.0	0.0	108
Kyrgyzstan	200500	22	2957	1	195161	105	2382	131	29915	441	1907195	284560	6702266	Asia	33	2267	4	3.0	0.1	355
Luxembourg	181903	0	988	0	171378	0	9537	8	282974	1537	4064929	6323529	642826	Europe	4	651	0	0.0	0.0	14836
